# GDP (current US $)
# source: http://data.worldbank.org/indicator/NY.GDP.MKTP.CD
# downloaded 2013-10-02
Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Heavily indebted poor countries (HIPC),HPC,17536256204,17997293767,19617566427,23761947889,21154846906,24751949202,27003383001,26426437413,27638193425,30829701075,32289327871,34802960506,37748605852,45753832938,55626835218,63171340541,67282957108,78998812505,91917429945,1.01618E+11,1.07539E+11,1.06953E+11,1.07075E+11,1.01405E+11,1.01357E+11,1.05847E+11,1.21346E+11,1.33929E+11,1.3306E+11,1.28132E+11,1.30305E+11,1.33425E+11,1.22225E+11,1.24283E+11,1.10168E+11,1.26095E+11,1.32418E+11,1.38936E+11,1.43279E+11,1.42296E+11,1.38378E+11,1.42493E+11,1.53764E+11,1.7562E+11,2.02295E+11,2.29244E+11,2.73601E+11,3.26436E+11,3.91135E+11,3.90639E+11,4.31317E+11,4.78951E+11,5.09433E+11
High income,HIC,1.07169E+12,1.13417E+12,1.22541E+12,1.31906E+12,1.44109E+12,1.56441E+12,1.71617E+12,1.84051E+12,1.99207E+12,2.18468E+12,2.37424E+12,2.63656E+12,3.06419E+12,3.71575E+12,4.19513E+12,4.68908E+12,5.11404E+12,5.79603E+12,6.9416E+12,8.02318E+12,8.96213E+12,9.09894E+12,9.00356E+12,9.28875E+12,9.69163E+12,1.01724E+13,1.23499E+13,1.42791E+13,1.60721E+13,1.68281E+13,1.88361E+13,1.9864E+13,2.12504E+13,2.14191E+13,2.28972E+13,2.52744E+13,2.54424E+13,2.50755E+13,2.50132E+13,2.61992E+13,2.67889E+13,2.65759E+13,2.7725E+13,3.11232E+13,3.47066E+13,3.67867E+13,3.9018E+13,4.2913E+13,4.58755E+13,4.26572E+13,4.48759E+13,4.88208E+13,4.8976E+13
High income: nonOECD,NOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.064E+12,1.14167E+12,1.17931E+12,1.20214E+12,1.22005E+12,1.24583E+12,1.32906E+12,1.40696E+12,1.48328E+12,1.28774E+12,1.2599E+12,1.4385E+12,1.44696E+12,1.51428E+12,1.69391E+12,2.02939E+12,2.42783E+12,2.85779E+12,3.39761E+12,4.09076E+12,3.36242E+12,3.94533E+12,4.77069E+12,5.0272E+12
High income: OECD,OEC,1.02093E+12,1.07975E+12,1.16643E+12,1.25557E+12,1.37117E+12,1.48878E+12,1.63354E+12,1.75176E+12,1.89566E+12,2.0782E+12,2.25746E+12,2.50362E+12,2.90875E+12,3.52028E+12,3.93083E+12,4.40242E+12,4.78023E+12,5.41245E+12,6.50088E+12,7.47405E+12,8.27838E+12,8.37243E+12,8.31465E+12,8.62019E+12,9.00359E+12,9.48006E+12,1.15948E+13,1.34082E+13,1.51017E+13,1.57666E+13,1.76953E+13,1.86852E+13,2.00481E+13,2.0199E+13,2.16504E+13,2.39437E+13,2.40347E+13,2.35928E+13,2.37235E+13,2.49366E+13,2.53486E+13,2.51274E+13,2.62092E+13,2.94274E+13,3.26767E+13,3.43615E+13,3.61662E+13,3.95249E+13,4.18021E+13,3.93034E+13,4.09476E+13,4.40793E+13,4.40524E+13
Latin America & Caribbean (all income levels),LCN,80916774750,85889113536,98817201233,99160201993,1.10336E+11,1.19172E+11,1.30711E+11,1.33851E+11,1.44248E+11,1.61568E+11,1.75655E+11,1.96195E+11,2.20677E+11,2.8913E+11,3.75762E+11,3.94289E+11,4.38221E+11,4.82072E+11,5.46878E+11,6.50875E+11,7.75678E+11,8.94176E+11,8.36643E+11,7.41873E+11,7.32045E+11,7.52562E+11,7.66604E+11,8.07024E+11,9.14898E+11,1.00173E+12,1.16752E+12,1.24069E+12,1.34469E+12,1.46012E+12,1.67517E+12,1.83803E+12,1.98267E+12,2.1618E+12,2.16874E+12,1.9387E+12,2.15129E+12,2.09798E+12,1.88557E+12,2.02106E+12,2.32473E+12,2.80493E+12,3.28791E+12,3.87118E+12,4.49249E+12,4.21256E+12,5.20128E+12,5.83281E+12,5.82889E+12
Latin America & Caribbean (developing only),LAC,72855943964,76514383965,88187096916,88375045361,98449301111,1.06709E+11,1.16984E+11,1.19914E+11,1.2959E+11,1.44684E+11,1.57119E+11,1.7441E+11,1.97628E+11,2.58134E+11,3.43773E+11,3.70228E+11,4.1031E+11,4.48319E+11,5.0817E+11,6.01054E+11,7.11762E+11,8.21511E+11,7.72188E+11,6.85726E+11,6.74356E+11,6.96579E+11,7.08715E+11,7.41858E+11,8.42499E+11,9.22575E+11,1.08041E+12,1.14455E+12,1.23596E+12,1.34404E+12,1.54475E+12,1.68536E+12,1.82029E+12,1.98366E+12,1.98564E+12,1.75882E+12,1.95946E+12,1.90683E+12,1.7008E+12,1.82475E+12,2.09627E+12,2.53944E+12,2.98195E+12,3.5343E+12,4.12868E+12,3.86443E+12,4.79191E+12,5.37584E+12,5.34827E+12
Latin America and the Caribbean (IFC classification),CLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Least developed countries: UN classification,LDC,,,,,,,,,,,,,,,,,,,,,,1.16135E+11,1.16093E+11,1.08543E+11,1.09194E+11,1.1838E+11,1.28479E+11,1.4167E+11,1.44842E+11,1.46645E+11,1.52498E+11,1.57001E+11,1.38543E+11,1.40256E+11,1.30468E+11,1.48774E+11,1.58701E+11,1.6841E+11,1.69345E+11,1.70916E+11,1.78316E+11,1.83007E+11,1.96381E+11,2.2191E+11,2.59558E+11,3.02071E+11,3.505E+11,4.27595E+11,5.27769E+11,5.24179E+11,5.89729E+11,6.66435E+11,7.03354E+11
Low & middle income,LMY,2.88817E+11,2.70454E+11,2.7893E+11,2.96039E+11,3.24943E+11,3.63161E+11,3.96922E+11,4.03371E+11,4.26997E+11,4.78485E+11,5.25444E+11,5.66319E+11,6.3432E+11,8.01885E+11,1.02279E+12,1.13176E+12,1.22346E+12,1.37773E+12,1.50097E+12,1.7813E+12,2.07388E+12,2.23071E+12,2.21518E+12,2.17009E+12,2.2002E+12,2.31625E+12,2.41848E+12,2.48898E+12,2.68472E+12,2.85416E+12,3.1571E+12,3.20813E+12,3.41759E+12,3.59127E+12,3.96264E+12,4.52795E+12,4.96696E+12,5.2553E+12,5.20355E+12,5.13465E+12,5.55576E+12,5.58027E+12,5.68101E+12,6.46396E+12,7.58633E+12,8.94256E+12,1.05284E+13,1.29705E+13,1.5472E+13,1.54387E+13,1.85699E+13,2.15968E+13,2.27379E+13
Low income,LIC,22464509084,23266222502,25247469975,30087935194,25975164727,30137265173,33195993447,33629505082,35038119136,39203881240,40884367966,43638354938,42559653953,51888111476,65385150076,82172582487,68358955648,76379928863,91540191877,1.01953E+11,1.10921E+11,1.10232E+11,1.11134E+11,1.04149E+11,1.01953E+11,1.06594E+11,1.15434E+11,1.2247E+11,1.32281E+11,1.32912E+11,1.42083E+11,1.43768E+11,1.32159E+11,1.30237E+11,1.20664E+11,1.38173E+11,1.54497E+11,1.60944E+11,1.64532E+11,1.63325E+11,1.63009E+11,1.66619E+11,1.74193E+11,1.91721E+11,2.1464E+11,2.37587E+11,2.60446E+11,3.06279E+11,3.631E+11,3.81892E+11,4.17138E+11,4.68917E+11,5.00914E+11
Lower middle income,LMC,,,,,,,,,,,1.61004E+11,1.6769E+11,1.81754E+11,2.16181E+11,2.75264E+11,2.98606E+11,3.36535E+11,3.86802E+11,4.31606E+11,4.89982E+11,6.10101E+11,6.45413E+11,6.5129E+11,6.3867E+11,6.31117E+11,6.59856E+11,6.86874E+11,7.56285E+11,7.92151E+11,8.03569E+11,8.58408E+11,8.27091E+11,8.69835E+11,8.74433E+11,9.50924E+11,1.06024E+12,1.15728E+12,1.19511E+12,1.0735E+12,1.16717E+12,1.23443E+12,1.25078E+12,1.34009E+12,1.53603E+12,1.7616E+12,2.03222E+12,2.40811E+12,2.97303E+12,3.31593E+12,3.39672E+12,4.14991E+12,4.67067E+12,4.8105E+12
Middle East & North Africa (all income levels),MEA,,,,,,,,,38305708547,42655563852,47094337422,55013624813,67718182519,90856294452,1.65526E+11,1.8225E+11,2.2533E+11,2.61877E+11,2.79806E+11,3.64979E+11,4.64783E+11,4.81942E+11,4.78611E+11,4.84242E+11,4.90571E+11,4.97959E+11,5.04968E+11,4.6438E+11,4.54273E+11,4.71526E+11,5.26004E+11,5.26677E+11,5.72843E+11,5.77035E+11,5.99679E+11,6.79024E+11,7.65613E+11,7.95793E+11,7.78486E+11,8.34435E+11,9.39149E+11,9.31058E+11,9.30492E+11,1.04278E+12,1.20795E+12,1.44572E+12,1.70978E+12,2.00996E+12,2.53398E+12,2.2623E+12,2.61546E+12,3.18379E+12,
Middle East & North Africa (developing only),MNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.72015E+11,2.77662E+11,3.16304E+11,3.63857E+11,3.76235E+11,3.87191E+11,4.09743E+11,4.34435E+11,4.37816E+11,4.2904E+11,4.77467E+11,5.50545E+11,6.41377E+11,7.64499E+11,9.37944E+11,1.18812E+12,1.1435E+12,1.30917E+12,1.53995E+12,
Middle East and North Africa (IFC classification),CME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle income,MIC,2.69946E+11,2.50435E+11,2.56972E+11,2.69736E+11,3.02494E+11,3.3706E+11,3.68166E+11,3.74242E+11,3.96657E+11,4.44538E+11,4.90049E+11,5.28485E+11,5.96604E+11,7.55617E+11,9.64361E+11,1.05996E+12,1.16075E+12,1.30754E+12,1.41844E+12,1.68822E+12,1.97117E+12,2.12707E+12,2.11094E+12,2.07171E+12,2.10333E+12,2.21485E+12,2.30937E+12,2.37377E+12,2.56031E+12,2.72807E+12,3.02166E+12,3.071E+12,3.28976E+12,3.46448E+12,3.84294E+12,4.39092E+12,4.81408E+12,5.09576E+12,5.04107E+12,4.97348E+12,5.39331E+12,5.41458E+12,5.50829E+12,6.27319E+12,7.37164E+12,8.70314E+12,1.02636E+13,1.26572E+13,1.51003E+13,1.50495E+13,1.81412E+13,2.11135E+13,2.22223E+13
North America,NAC,5.61709E+11,5.79908E+11,6.21821E+11,6.56423E+11,7.05903E+11,7.66106E+11,8.41253E+11,8.8998E+11,9.72365E+11,1.05144E+12,1.11129E+12,1.21078E+12,1.33627E+12,1.49851E+12,1.64372E+12,1.79443E+12,2.01232E+12,2.22183E+12,2.49115E+12,2.78269E+12,3.03701E+12,3.40521E+12,3.53639E+12,3.8416E+12,4.24853E+12,4.54154E+12,4.79504E+12,5.12173E+12,5.56148E+12,5.99672E+12,6.33512E+12,6.53054E+12,6.84301E+12,7.14839E+12,7.55966E+12,7.93095E+12,8.36756E+12,8.89697E+12,9.3609E+12,9.96559E+12,1.06272E+13,1.0953E+13,1.13288E+13,1.19594E+13,1.27945E+13,1.37029E+13,1.45985E+13,1.53918E+13,1.57281E+13,1.52417E+13,1.60022E+13,1.67746E+13,1.7512E+13
Not classified,INX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OECD members,OED,1.05078E+12,1.1041E+12,1.19295E+12,1.28558E+12,1.40556E+12,1.52596E+12,1.67589E+12,1.79828E+12,1.94732E+12,2.13559E+12,2.31532E+12,2.56467E+12,2.98096E+12,3.60951E+12,4.04785E+12,4.54614E+12,4.93329E+12,5.56674E+12,6.68462E+12,7.71732E+12,8.56432E+12,8.71754E+12,8.57641E+12,8.85167E+12,9.25966E+12,9.75251E+12,1.18235E+13,1.36615E+13,1.5404E+13,1.61258E+13,1.81417E+13,1.91849E+13,2.06088E+13,2.0822E+13,2.22452E+13,2.44454E+13,2.4595E+13,2.42306E+13,2.44619E+13,2.57158E+13,2.6243E+13,2.59982E+13,2.71572E+13,3.05143E+13,3.39306E+13,3.58038E+13,3.77616E+13,4.13441E+13,4.37798E+13,4.09289E+13,4.28425E+13,4.6151E+13,4.61447E+13
Other small states,OSS,,,,,,,,,,,,,,,,,,,,,11570348674,10968818735,10250899413,10401498328,10138961719,9408989841,10692531793,12605147059,14758923308,15809721903,19971518541,20438397750,22053281346,21156236971,21890347616,24675072438,25970284590,26414069423,25152086417,26761832567,28076450915,28274687167,29147130811,37559585046,47276312250,53456537342,56297188516,66312957651,79805287525,69278585657,82344896383,98356565812,96609837316
Pacific island small states,PSS,,,,,,,,,,,,426647547.9,512647429.9,699002872.7,993105846.3,1109210905,1112255718,1160438799,1345821549,1648865213,1874299698,1931282781,1887505753,1810373127,1982623001,1879083476,2040578907,2004875141,2096652516,2192363018,2363362535,2526903092,2772754095,2923545633,3361263967,3632695243,3899970224,3892576779,3344586919,3644082478,3404102431,3328254376,3510267991,4130086876,4768355681,5213600791,5479501771,6078272369,6553282684,5686800286,6320712789,7433335512,7779405014
Small states,SST,,,3308500693,3481197724,3825217394,4170041889,4507658103,4843088946,4866751126,5318525870,5856242358,6455947965,7456175204,8850398248,12210204383,14605893615,15954488752,17579752855,18098692436,21466835796,26623430183,27376374313,28334807648,28808147947,27848719245,26809979398,26705691247,29558859846,32643772110,34116054134,39484124949,39972089700,41463637240,41421203491,43688467037,48575264750,51981106787,55214403103,55816940826,59458952970,63180368384,64162511843,66893926225,78513079794,92097796718,1.04339E+11,1.13068E+11,1.29584E+11,1.52016E+11,1.29962E+11,1.47549E+11,1.68631E+11,1.69222E+11
South Asia,SAS,,,,,,,,,,,86654365567,92125269343,92638751328,1.06017E+11,1.28277E+11,1.3741E+11,1.34309E+11,1.55393E+11,1.76845E+11,1.98067E+11,2.38823E+11,2.52606E+11,2.61418E+11,2.76846E+11,2.76673E+11,2.99402E+11,3.17237E+11,3.52455E+11,3.78282E+11,3.80679E+11,4.10508E+11,3.66082E+11,3.88748E+11,3.84882E+11,4.36776E+11,4.85183E+11,5.24987E+11,5.50926E+11,5.58752E+11,5.97017E+11,6.21057E+11,6.3717E+11,6.71324E+11,7.84099E+11,9.11124E+11,1.04472E+12,1.1851E+12,1.50554E+12,1.53414E+12,1.68721E+12,2.07293E+12,2.29568E+12,2.28933E+12
South Asia (IFC classification),CSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sub-Saharan Africa (all income levels),SSF,29694667867,30827265655,33434328314,38366530112,37369665563,41643045882,44958181472,44379514377,47471267396,54421747313,64056583764,65105885206,73457538480,94039875940,1.22593E+11,1.35044E+11,1.46906E+11,1.61373E+11,1.80284E+11,2.15624E+11,2.71381E+11,2.71495E+11,2.5337E+11,2.36985E+11,2.25929E+11,2.10505E+11,2.32626E+11,2.75043E+11,2.89593E+11,3.00772E+11,3.00434E+11,3.1101E+11,3.09432E+11,2.95983E+11,2.88372E+11,3.27211E+11,3.39909E+11,3.52293E+11,3.32416E+11,3.32879E+11,3.42171E+11,3.33611E+11,3.50216E+11,4.4819E+11,5.58673E+11,6.51084E+11,7.55727E+11,8.77469E+11,1.00092E+12,9.49374E+11,1.14429E+12,1.27765E+12,1.30562E+12
Sub-Saharan Africa (developing only),SSA,29696900419,30829583360,33436842027,38368991255,37369608279,41585344561,44896790073,44314249957,47412578908,54365964315,64005387011,65056638718,73410833466,93982972460,1.22532E+11,1.34976E+11,1.46844E+11,1.61315E+11,1.80219E+11,2.15547E+11,2.71284E+11,2.71397E+11,2.53279E+11,2.369E+11,2.25848E+11,2.1043E+11,2.32531E+11,2.74928E+11,2.89471E+11,3.00665E+11,3.00307E+11,3.10885E+11,3.09283E+11,2.95836E+11,2.88251E+11,3.27053E+11,3.39656E+11,3.518E+11,3.31965E+11,3.3201E+11,3.40931E+11,3.31875E+11,3.48068E+11,4.45236E+11,5.53425E+11,6.4285E+11,7.47949E+11,8.67145E+11,9.85415E+11,9.38933E+11,1.13192E+12,1.26076E+12,1.28785E+12
Sub-Saharan Africa (IFC classification),CAA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upper middle income,UMC,1.8651E+11,1.67284E+11,1.74764E+11,1.82989E+11,2.06053E+11,2.301E+11,2.5265E+11,2.5615E+11,2.69827E+11,3.01778E+11,3.30106E+11,3.61199E+11,4.14365E+11,5.37077E+11,6.86007E+11,7.57468E+11,8.21143E+11,9.18246E+11,9.85636E+11,1.19384E+12,1.36069E+12,1.47944E+12,1.45892E+12,1.43225E+12,1.46906E+12,1.55104E+12,1.61825E+12,1.61894E+12,1.76848E+12,1.92262E+12,2.1602E+12,2.24209E+12,2.41843E+12,2.58964E+12,2.89165E+12,3.33043E+12,3.65656E+12,3.90059E+12,3.96735E+12,3.80625E+12,4.15877E+12,4.1637E+12,4.16808E+12,4.73699E+12,5.61004E+12,6.67093E+12,7.85554E+12,9.68421E+12,1.17839E+13,1.16521E+13,1.399E+13,1.64404E+13,1.74121E+13
World,WLD,1.34956E+12,1.40053E+12,1.5027E+12,1.61384E+12,1.76448E+12,1.9246E+12,2.10998E+12,2.24287E+12,2.41882E+12,2.66209E+12,2.89813E+12,3.20157E+12,3.69761E+12,4.51569E+12,5.21265E+12,5.81525E+12,6.33173E+12,7.16747E+12,8.43933E+12,9.7994E+12,1.10279E+13,1.13179E+13,1.12069E+13,1.14497E+13,1.1884E+13,1.24803E+13,1.47674E+13,1.67739E+13,1.87618E+13,1.96881E+13,2.20007E+13,2.30831E+13,2.46801E+13,2.50191E+13,2.68681E+13,2.98103E+13,3.04141E+13,3.03326E+13,3.02187E+13,3.13369E+13,3.23467E+13,3.2158E+13,3.34083E+13,3.75892E+13,4.22934E+13,4.57278E+13,4.95423E+13,5.58755E+13,6.13352E+13,5.808E+13,6.34122E+13,7.03714E+13,7.16664E+13
Afghanistan,AFG,537777811.9,548888894.6,546666678,751111190.8,800000045.5,1006666638,1399999966,1673333419,1373333367,1408888923,1748886596,1831108972,1595555476,1733333265,2155555499,2366666615,2555555567,2953333419,3300000108,3697940345,3641723447,3478787910,,,,,,,,,,,,,,,,,,,,2461666315,4128818043,4583648922,5285461999,6275076016,7057597615,9843851009,10190534636,12486950469,15936784436,18033526069,
Albania,ALB,,,,,,,,,,,,,,,,,,,,,,,,,1924242456,1965384581,2173750016,2156624896,2126000000,2335124992,2101624960,1139166679,709452572.7,1228071037,1985673026,2424498953,3013217853,2196223714,2727745453,3434402453,3686649387,4091020249,4449373456,5652325082,7464446950,8376483740,9132562332,10704661571,12968652891,12118580597,11858166295,12959563902,13119013351
Algeria,DZA,2723637620,2434766866,2001460839,2703004010,2909340115,3136284385,3039859268,3370870461,3852147113,4257253358,4863487557,5077222330,6761786484,8715106129,13209713770,15557934473,17728348385,20971901063,26364491675,33243421339,42345276288,44348670724,45207090668,48801372228,53698280323,57937867717,63696299985,66742269090,59089065517,55631488294,62045098370,45715368144,48003297249,49946456681,42542573602,41764054035,46941496308,48177861891,48187780126,48640613515,54790058957,55180990396,57053038888,68018606041,85013944728,1.02339E+11,1.17169E+11,1.35804E+11,1.70989E+11,1.3812E+11,1.61778E+11,1.98539E+11,2.07955E+11
American Samoa,ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,,,,,,,,,,,78617570.32,89406659.51,113414331.9,150841699.1,186557164,220112850.8,227284165.9,253998069.1,308020384.4,411548246.8,446377494.9,388983013.9,375914742.9,327849949,330073024.9,346742901.7,481996232.9,611300198.5,721426027.5,795489398,1028989439,1106890943,1209992604,1007090896,1017544619,1178745262,1224023470,1180646037,1211953954,1239840266,1133644295,1264760246,1456198796,1917948475,2322163502,2539759286,2823503853,3245411584,3712034267,,,,
Angola,AGO,,,,,,,,,,,,,,,,,,,,,,,,,,6804278063,6355849179,7383121654,7975234067,9283054576,10260193361,12193746625,5779394292,5285600050,4059577145,5039534776,7526446606,7648377413,6445041825,6152922943,9129594819,8936079253,11431736695,13956268143,19775227835,28233699240,41789494462,60448890972,84178086999,75492417649,82470894868,1.04116E+11,1.14197E+11
Antigua and Barbuda,ATG,,,,,,,,,,,,,,,,,,66144443.28,74855554.23,92240739.11,110066664.7,124462954.8,137951855.3,153270373.6,173511108,201862965.3,245896292,286474069,338696290.3,373403703,391570363.5,410388899.4,423762955.5,456537023,500088880.1,494185188.3,541074082.3,579851829.8,620037014.2,651851840.3,787693391.3,778311556.5,806505874.3,849234753.9,905113766.5,1001970945,1135143590,1289254324,1347349844,1206410364,1135539048,1124586886,1176348888
